"start";"end";"label"
0.000000000;6.987755102;"Castanets"
6.987755102;14.832653061;"Snare"
14.832653061;22.114285714;"Applause"
22.114285714;26.824489796;"Staccato Strings"
26.824489796;33.869387755;"Legato Violin"
