"Start";"Duration";"Pitch";"Velocity";"Instrument"
0.0;1.0;60.0;0.7086600000000001;""
1.0;1.0;41.0;0.7086600000000001;""
1.0;4.0;41.0;0.7086600000000001;""
1.0;2.0;65.0;0.7086600000000001;""
2.0;3.0;48.0;0.7086600000000001;""
2.0;3.0;53.0;0.7086600000000001;""
2.0;3.0;57.0;0.7086600000000001;""
2.0;3.0;60.0;0.7086600000000001;""
3.0;0.5;65.0;0.7086600000000001;""
3.5;0.5;64.0;0.7086600000000001;""
4.0;0.5;65.0;0.7086600000000001;""
4.5;0.5;69.0;0.7086600000000001;""
5.0;1.0;41.0;0.7086600000000001;""
5.0;1.0;48.0;0.7086600000000001;""
5.0;1.0;57.0;0.7086600000000001;""
5.0;0.5;72.0;0.7086600000000001;""
5.5;0.5;77.0;0.7086600000000001;""
6.0;0.0;46.0;0.7086600000000001;""
6.0;0.0;53.0;0.7086600000000001;""
6.0;3.0;53.0;0.7086600000000001;""
6.0;2.0;62.0;0.7086600000000001;""
6.0;3.0;65.0;0.7086600000000001;""
6.0;2.0;77.0;0.7086600000000001;""
8.0;0.5;60.0;0.7086600000000001;""
8.0;0.5;76.0;0.7086600000000001;""
8.5;0.5;58.0;0.7086600000000001;""
8.5;0.5;74.0;0.7086600000000001;""
9.0;1.0;48.0;0.7086600000000001;""
9.0;1.0;57.0;0.7086600000000001;""
9.0;1.0;65.0;0.7086600000000001;""
9.0;0.5;72.0;0.7086600000000001;""
9.5;0.5;77.0;0.7086600000000001;""
10.0;2.0;48.0;0.7086600000000001;""
10.0;0.5;58.0;0.7086600000000001;""
10.0;2.0;64.0;0.7086600000000001;""
10.0;0.5;67.0;0.7086600000000001;""
10.5;0.5;57.0;0.7086600000000001;""
10.5;0.5;69.0;0.7086600000000001;""
11.0;1.0;55.0;0.7086600000000001;""
11.0;0.5;70.0;0.7086600000000001;""
11.5;0.5;74.0;0.7086600000000001;""
12.0;0.5;45.0;0.7086600000000001;""
12.0;0.5;53.0;0.7086600000000001;""
12.0;1.0;60.0;0.7086600000000001;""
12.0;0.5;65.0;0.7086600000000001;""
12.5;0.5;48.0;0.7086600000000001;""
12.5;0.5;55.0;0.7086600000000001;""
12.5;0.5;64.0;0.7086600000000001;""
12.5;0.5;67.0;0.7086600000000001;""
13.0;1.0;53.0;0.7086600000000001;""
13.0;1.0;57.0;0.7086600000000001;""
13.0;1.0;60.0;0.7086600000000001;""
13.0;0.5;65.0;0.7086600000000001;""
13.0;0.5;69.0;0.7086600000000001;""
13.5;0.5;72.0;0.7086600000000001;""
14.0;0.5;48.0;0.7086600000000001;""
14.0;2.0;55.0;0.7086600000000001;""
14.0;2.0;60.0;0.7086600000000001;""
14.0;2.0;64.0;0.7086600000000001;""
14.0;2.0;67.0;0.7086600000000001;""
14.5;0.5;50.0;0.7086600000000001;""
15.0;0.5;48.0;0.7086600000000001;""
15.5;0.5;46.0;0.7086600000000001;""
16.0;0.5;43.0;0.7086600000000001;""
16.0;1.0;60.0;0.7086600000000001;""
16.0;1.0;60.0;0.7086600000000001;""
16.5;0.5;45.0;0.7086600000000001;""
17.0;1.0;41.0;0.7086600000000001;""
17.0;4.0;41.0;0.7086600000000001;""
17.0;2.0;65.0;0.7086600000000001;""
18.0;3.0;48.0;0.7086600000000001;""
18.0;3.0;53.0;0.7086600000000001;""
18.0;3.0;57.0;0.7086600000000001;""
18.0;3.0;60.0;0.7086600000000001;""
19.0;0.5;65.0;0.7086600000000001;""
19.5;0.5;64.0;0.7086600000000001;""
20.0;0.5;65.0;0.7086600000000001;""
20.5;0.5;69.0;0.7086600000000001;""
21.0;1.0;41.0;0.7086600000000001;""
21.0;1.0;48.0;0.7086600000000001;""
21.0;1.0;57.0;0.7086600000000001;""
21.0;0.5;72.0;0.7086600000000001;""
21.5;0.5;81.0;0.7086600000000001;""
22.0;0.0;49.0;0.7086600000000001;""
22.0;0.0;57.0;0.7086600000000001;""
22.0;3.0;57.0;0.7086600000000001;""
22.0;3.0;64.0;0.7086600000000001;""
22.0;3.0;67.0;0.7086600000000001;""
22.0;3.0;69.0;0.7086600000000001;""
22.0;1.5;81.0;0.7086600000000001;""
23.5;0.5;79.0;0.7086600000000001;""
24.0;0.5;77.0;0.7086600000000001;""
24.5;0.5;76.0;0.7086600000000001;""
25.0;1.5;50.0;0.7086600000000001;""
25.0;1.5;57.0;0.7086600000000001;""
25.0;1.5;62.0;0.7086600000000001;""
25.0;1.5;69.0;0.7086600000000001;""
25.0;0.5;77.0;0.7086600000000001;""
25.5;0.5;81.0;0.7086600000000001;""
26.0;0.5;74.0;0.7086600000000001;""
26.5;0.5;53.0;0.7086600000000001;""
26.5;0.5;60.0;0.7086600000000001;""
26.5;0.5;68.0;0.7086600000000001;""
26.5;0.5;77.0;0.7086600000000001;""
27.0;1.5;55.0;0.7086600000000001;""
27.0;1.5;60.0;0.7086600000000001;""
27.0;0.5;67.0;0.7086600000000001;""
27.0;1.5;76.0;0.7086600000000001;""
27.5;0.5;72.0;0.7086600000000001;""
28.0;0.5;64.0;0.7086600000000001;""
28.5;0.5;57.0;0.7086600000000001;""
28.5;0.5;60.0;0.7086600000000001;""
28.5;0.5;66.0;0.7086600000000001;""
28.5;0.5;75.0;0.7086600000000001;""
29.0;2.0;55.0;0.7086600000000001;""
29.0;0.5;59.0;0.7086600000000001;""
29.0;2.0;65.0;0.7086600000000001;""
29.0;1.0;74.0;0.7086600000000001;""
29.5;0.5;67.0;0.7086600000000001;""
30.0;0.5;57.0;0.7086600000000001;""
30.0;1.0;76.0;0.7086600000000001;""
30.5;0.5;59.0;0.7086600000000001;""
31.0;0.5;48.0;0.7086600000000001;""
31.0;0.5;60.0;0.7086600000000001;""
31.0;1.0;64.0;0.7086600000000001;""
31.0;0.0;72.0;0.7086600000000001;""
31.0;2.0;72.0;0.7086600000000001;""
31.5;0.5;50.0;0.7086600000000001;""
