"start";"end";"label"
0;23;"I"
23;28;"T1"
28;43;"V1"
43;59;"V2"
59;75;"V3"
75;90;"V4"
90;97;"T2"
97;113;"V5"
113;128;"V6"
128;132;"T3"
132;148;"V7"
148;173;"B"
173;189;"V8"
189;195;"O"
